Título,Localización,Fecha,Salario,Formación,ID
Camarero-a de pisos hotel 5*(ref. 2260),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834142
Auxiliar centro de día,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834141
Operadores de máquinas envasadoras de aceites y grasas comestibles,Jaen - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834145
1 camarero-a - campanario,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834144
Comercial-dependiente recambios maquinaria agrícola,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834105
Psicòleg-oga,Lleida - Cataluña - España,03/04/2025,Sin especificar,Doctorado o equivalente,1839834104
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834111
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834110
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834109
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834108
Jardinero-a,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834082
Instal.lador-a de vidres de cotxes,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839834083
"Docente especialidad formativa fcoo03 inserción laboral,sensibilización medioambiental y en la…",Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834079
Conductor de trailer c+e,Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834080
Cuiner-a,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834086
Pintores y-o empapeladores,Huelva - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839834087
Podadores y-o motoserristas forestales,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834084
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834114
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834115
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834116
Auxiliar de enfermería,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834117
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834118
Auxiliar de producción de papel y cartón,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834119
Vigilantes de seguridad,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834120
Comercial - atención al cliente,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834121
Mecánica -o,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839834122
Farmaceútico-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,1839834123
Formadores de formación para el empleo,Zamora - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834143
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834112
Work-location,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834113
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834134
"Médicos, medicina general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834274
"Electricistas de mantenimiento y reparación, en general",Cordoba - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834275
Conductor-a de camión rígido,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834263
Limpiador-a con carné de conducir,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834264
"Conserjes, en general",Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834261
Técnico-a de recursos humanos con certificado de discapacidad (ref. 04 2025 001878),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Doctorado o equivalente,1839834262
Camarero-a.,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834267
"Cocineros, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834268
Profesor-a de inglés (ref.: 2274),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834265
Técnico-a de especialidad en área jurídica (jurídico-laboral),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834266
Profesionales de la educación ambiental,Huelva - Andalucia - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839834282
1 ayudante de camarero-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834283
Conservadores de museo y galerías de arte,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834284
Peón albañil,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834246
Calderero-a (ref.: 2270),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834245
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834252
Lacador-a de madera,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834251
Electricistas. oficiales de primera,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834250
"Empleados administrativos de contabilidad, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839834249
Expendedores de combustible,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834271
Personal de limpieza o limpiadores en general,Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834273
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834272
Oferta limpiador-mantenedor-a de piscinas para torrejón de ardoz,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834269
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834270
Profesor de apoyo socioeducativo,Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,1839834276
Primeros oficiales de puente de buques mercantes,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Doctorado o equivalente,1839834277
Aux. administrativo-a de transporte,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839834201
Técnico-a instaladador-a y de mantenimiento de sistemas de seguridad.,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834202
Planchistas (cafetería o restauración),A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834199
Operadores de equipos en estación de emisora de radio y-o televisión,Malaga - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839834200
1 ayudante de camarero-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834197
Instaladores electricistas industriales,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1838705138
Profesor-a de autoescuela,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834198
Ayudante de dependiente (2363),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834195
Pinches de cocina,Ourense - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834196
Jefes de cocina (hostelería),Huelva - Andalucia - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839834221
Soldador-a (ref.: 2269),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834220
Adjunto-a a dirección contable y financiera,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834223
Personal de limpieza o limpiadores en general,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834222
Albañiles,Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834237
Ayudante de cocina,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834238
Escayolista. escayola arabe.,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834239
Formadores de formación no reglada,A Coruña - Galicia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839834241
Perito-a electricista (ref.:2273),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834240
"Cocineros, en general",Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834242
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834243
"Responsable de departamento técnico, para empresa de inslación de sistemas de seguridad.",Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834244
Auxiliares de enfermería,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834228
Montadores de toldos,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834229
Limpiador-a,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834230
Monitores de tiempo libre -fuentes de ebro- (empleo público),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834231
"Conductores de furgoneta, hasta 3,5 t.",Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839834232
Técnico-a contable (titulación universitaria),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834227
Encofradores,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834226
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834213
Limpiador-a (ref.:2266),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834212
Empleoado-a de hoigar interno-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834215
"Conductores de camión, en general",Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834214
Operario laboratorio fundic. en agurain. contrato 6 meses,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834217
Peluqueros de señoras,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834216
Pulidor-pulidora,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834219
1 ayudante de cocina,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834218
Monitor-a centro interpretación aneto (sector público),Huesca - Aragon - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,1839834233
Profesores técnicos de formación profesional (electricidad y electrónica),Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834234
Gerocultores,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834235
Albañiles,Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834256
"Cocineros, en general",Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834255
1 fisioterapeuta,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834254
Mecánico automoción,Albacete - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834253
Profesor-a,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,1839834260
Maquinista de c.n.c (ref. 2271),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834259
Operario de mantenimiento,Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834258
Técnico gestión económica presupuestaria en vitoria (ura). contr. pl3 sustit 2 meses,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834257
"Docente curso de formación: ""mantenimiento y rehabilitación de edificios""",Ciudad Real - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834248
Utileria para espectáculos en vivo - inaem,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834225
"Consultor-a en economía, competitividad e innovación",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,1839834224
